"EventID","State","YearStart","MonthStart","DayStart","YearEnd","MonthEnd","DayEnd","EventDuration","FloodEvent","FloodCause","FatalityFlag","FatalityAge","FatalityGender"
902190,"GEORGIA",202006,24,24,202006,24,24,1,0,"",NA,NA,NA
885808,"WEST VIRGINIA",202005,25,25,202005,25,25,1,1,"Heavy Rain",NA,NA,NA
877747,"NEW YORK",202002,6,6,202002,7,7,2,0,"",NA,NA,NA
883975,"ALABAMA",202005,22,22,202005,22,22,1,0,"",NA,NA,NA
883976,"ALABAMA",202005,22,22,202005,22,22,1,0,"",NA,NA,NA
881761,"WEST VIRGINIA",202004,10,10,202004,10,10,1,0,"",NA,NA,NA
880416,"VIRGINIA",202004,13,13,202004,13,13,1,1,"Heavy Rain",NA,NA,NA
881979,"VIRGINIA",202004,12,12,202004,13,13,2,0,"",NA,NA,NA
879265,"CALIFORNIA",202001,29,29,202001,29,29,1,0,"",NA,NA,NA
879267,"CALIFORNIA",202001,29,29,202001,29,29,1,0,"",NA,NA,NA
879283,"CALIFORNIA",202002,10,10,202002,10,10,1,0,"",NA,NA,NA
874472,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874474,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874475,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874476,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874477,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874478,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874479,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874480,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874482,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874546,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874550,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
879257,"CALIFORNIA",202001,2,2,202001,2,2,1,0,"",NA,NA,NA
879258,"CALIFORNIA",202001,2,2,202001,2,2,1,0,"",NA,NA,NA
879260,"CALIFORNIA",202001,5,5,202001,5,5,1,0,"",NA,NA,NA
879261,"CALIFORNIA",202001,5,5,202001,5,5,1,0,"",NA,NA,NA
879263,"CALIFORNIA",202001,5,5,202001,5,5,1,0,"",NA,NA,NA
874468,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874469,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874470,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874551,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874552,"OHIO",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874556,"OHIO",202003,28,28,202003,28,28,1,1,"Heavy Rain",NA,NA,NA
879269,"CALIFORNIA",202001,28,28,202001,29,29,2,0,"",NA,NA,NA
879276,"CALIFORNIA",202002,2,2,202002,3,3,2,0,"",NA,NA,NA
879277,"CALIFORNIA",202002,2,2,202002,3,3,2,0,"",NA,NA,NA
879281,"CALIFORNIA",202002,4,4,202002,4,4,1,0,"",NA,NA,NA
874453,"KENTUCKY",202003,28,28,202003,28,28,1,0,"",NA,NA,NA
874465,"OHIO",202003,28,28,202003,28,28,1,1,"Heavy Rain",NA,NA,NA
